How old are you?,You identify as ...,What field are you involved in?,Would you consider yourself as someone with an interest in technology?,Do you know what a Virtual Reality (VR) headset is ?,"If so, do you own a VR headset?","Based solely on this ad, what seems to be the main use for this VR headset ?","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Gaming]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Simulation and Training]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Productivity]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Therapy and Rehabilitation]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Virtual Tourism and Exploration]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Architecture and Design]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Media and Entertainment]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Virtual Conferencing and Collaboration]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Virtual Concerts and Events]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Fitness and Exercise]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Art and Creativity]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Research and Data Visualization]","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Education]","Based on the ad, does this VR headset seem easy to use? [Meta]",Do you feel targeted by this ad? [Meta],"Based solely on this ad, what seems to be the main use for this VR headset ?.1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Gaming].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Simulation and Training].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Productivity].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Therapy and Rehabilitation].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Virtual Tourism and Exploration].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Architecture and Design].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Media and Entertainment].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Virtual Conferencing and Collaboration].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Virtual Concerts and Events].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Fitness and Exercise].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Art and Creativity].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Research and Data Visualization].1","Once again based solely on this ad, what other actitivties seem accomplishable with this headset?  [Education].1","Based on the ad, does this VR headset seem easy to use? [Apple]",Do you feel targeted by this ad? [Apple],Were you charmed by Meta's ad?,Were you charmed by Apple's ad?,Did those ads teach you new possibilities of VR? [Meta's ad],Did those ads teach you new possibilities of VR? [Apple's ad],"After seeing both ads, did one of them make you feel like owning a Virtual Reality headset?",How much would you be willing to spend on a Virtual Reality Headset?
45 - 60,Male,No Tech ,4,Yes,No,Gaming,Possible,Not possible,Not possible,Not possible,Possible,Not possible,Possible,Not possible,Possible,Possible,Possible,Not possible,Not possible,5,1,Media and Entertainment,Possible,Possible,Possible,Not possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,5,3,1,5,No,No,Neither,200-400 €
18 - 28,Male,No Tech,5,Yes,No,Gaming,Possible,Neutral,Neutral,Not possible,Neutral,Not possible,Possible,Not possible,Not possible,Not possible,Possible,Not possible,Not possible,4,3,Productivity,Possible,Neutral,Possible,Neutral,Possible,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,4,5,2,4,Yes,Yes,Meta's ad,500-1000 €
18 - 28,Male,No Tech,4,Yes,No,Media and Entertainment,Not possible,Neutral,Possible,Not possible,Not possible,Possible,Possible,Possible,Not possible,Not possible,Possible,Neutral,Neutral,4,2,Gaming,Possible,Neutral,Not possible,Neutral,Neutral,Neutral,Possible,Not possible,Possible,Possible,Possible,Not possible,Neutral,4,3,4,2,No,No,Neither,500-1000 $
45 - 60,Female,No Tech,5,Yes,No,Gaming,Possible,Possible,Neutral,Neutral,Possible,Neutral,Possible,Neutral,Neutral,Possible,Possible,Neutral,Neutral,5,3,Media and Entertainment,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,5,5,3,4,No,No,Neither,0 - 200 €
45 - 60,Male,No Tech,5,Yes,No,Media and Entertainment,Possible,Neutral,Neutral,Neutral,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Neutral,Neutral,5,3,Fitness and Exercise,Possible,Neutral,Neutral,Neutral,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Neutral,Neutral,5,5,4,5,Yes,Yes,Meta's ad,200-400 €
18 - 28,Female,Tech,2,Yes,No,Media and Entertainment,Possible,Not possible,Not possible,Not possible,Possible,Possible,Possible,Neutral,Neutral,Possible,Neutral,Possible,Not possible,3,1,Media and Entertainment,Neutral,Neutral,Possible,Neutral,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Neutral,Not possible,3,2,2,4,Yes,Yes,Neither,0 - 200 €
18 - 28,Male,Tech,5,Yes,Yes,Gaming,Possible,Possible,Neutral,Neutral,Not possible,Possible,Possible,Possible,Possible,Not possible,Not possible,Not possible,Neutral,4,3,Productivity,Possible,Possible,Neutral,Neutral,Possible,Possible,Possible,Possible,Possible,Not possible,Not possible,Not possible,Neutral,4,4,4,4,Yes,Yes,Apple's ad,500-1000 €
18 - 28,Male,No Tech,3,Yes,No,Media and Entertainment,Possible,Possible,Not possible,Not possible,Not possible,Not possible,Possible,Not possible,Not possible,Not possible,Not possible,Not possible,Not possible,3,2,Virtual Conferencing and Collaboration,Not possible,Not possible,Possible,Not possible,Neutral,Not possible,Neutral,Possible,Not possible,Not possible,Neutral,Neutral,Not possible,2,2,3,2,No,No,Neither,500-1000 €
18 - 28,Male,Tech,4,Yes,No,Gaming,Possible,Neutral,Neutral,Not possible,Not possible,Not possible,Possible,Not possible,Not possible,Possible,Not possible,Not possible,Not possible,3,4,Productivity,Neutral,Possible,Possible,Possible,Neutral,Neutral,Possible,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,4,4,3,Yes,Yes,Both,0 - 200 €;200-400 €;500-1000 €
18 - 28,Male,No Tech,4,Yes,No,Media and Entertainment,Possible,Possible,Neutral,Neutral,Neutral,Neutral,Possible,Possible,Neutral,Possible,Neutral,Possible,Not possible,3,1,Simulation and Training,Possible,Possible,Possible,Not possible,Not possible,Not possible,Possible,Neutral,Possible,Neutral,Possible,Possible,Neutral,3,2,4,2,No,No,Neither,200-400 $;500-1000 $
45 - 60,Female,No Tech,5,Yes,No,Gaming,Possible,Possible,Neutral,Neutral,Possible,Neutral,Possible,Neutral,Neutral,Possible,Possible,Neutral,Neutral,5,3,Media and Entertainment,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,5,5,3,4,No,No,Neither,0 - 200 €
28 - 45,Female,No Tech,5,Yes,No,Gaming,Possible,Possible,Not possible,Not possible,Possible,Not possible,Possible,Not possible,Possible,Possible,Possible,Not possible,Not possible,5,3,Media and Entertainment,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,5,5,2,4,Yes,Yes,Meta's ad,200-400 €
18 - 28,Male,No Tech,4,Yes,No,Media and Entertainment,Not possible,Neutral,Possible,Not possible,Not possible,Possible,Possible,Possible,Not possible,Not possible,Possible,Neutral,Neutral,4,2,Gaming,Possible,Neutral,Not possible,Neutral,Neutral,Neutral,Possible,Not possible,Possible,Possible,Possible,Not possible,Neutral,4,3,4,2,No,No,Neither,500-1000 $
0 - 18,Male,No Tech,4,Yes,No,Gaming,Possible,Neutral,Possible,Neutral,Neutral,Possible,Possible,Neutral,Neutral,Possible,Possible,Neutral,Neutral,4,5,Media and Entertainment,Neutral,Neutral,Possible,Neutral,Possible,Possible,Possible,Neutral,Neutral,Neutral,Possible,Possible,Neutral,5,1,3,3,No,Yes,Both,Ce n'est pas dans mes priorités
0 - 18,Male,No Tech,4,Yes,No,Gaming,Possible,Possible,Neutral,Not possible,Possible,Possible,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,5,4,Media and Entertainment,Not possible,Possible,Possible,Not possible,Not possible,Not possible,Possible,Possible,Neutral,Not possible,Neutral,Possible,Not possible,3,3,5,3,Yes,No,Apple's ad,200-400 €
0 - 18,Male,No Tech,4,Yes,No,Gaming,Possible,Possible,Neutral,Not possible,Possible,Possible,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,5,4,Media and Entertainment,Not possible,Possible,Possible,Not possible,Not possible,Not possible,Possible,Possible,Neutral,Not possible,Neutral,Possible,Not possible,3,3,5,3,Yes,No,Apple's ad,200-400 €
18 - 28,Male,No Tech,3,Yes,No,Gaming,Possible,Neutral,Neutral,Not possible,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Not possible,Possible,4,3,Media and Entertainment,Possible,Neutral,Neutral,Neutral,Possible,Possible,Possible,Possible,Neutral,Neutral,Possible,Possible,Possible,4,4,4,4,Yes,Yes,Apple's ad,200-400 €
18 - 28,Female,Tech,5,Yes,No,Gaming,Possible,Possible,Not possible,Possible,Possible,Possible,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,1,Media and Entertainment,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,5,3,1,5,No,No,Meta's ad,1000-2000 €
0 - 18,Male,No Tech,4,Yes,No,Gaming,Possible,Neutral,Possible,Neutral,Neutral,Possible,Possible,Neutral,Neutral,Possible,Possible,Neutral,Neutral,4,5,Media and Entertainment,Neutral,Neutral,Possible,Neutral,Possible,Possible,Possible,Neutral,Neutral,Neutral,Possible,Possible,Neutral,5,1,3,3,No,Yes,Both,Ce n'est pas dans mes priorités
18 - 28,Male,Tech,5,Yes,No,Gaming,Possible,Possible,Not possible,Possible,Neutral,Possible,Possible,Possible,Neutral,Not possible,Possible,Possible,Possible,2,2,Productivity,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Not possible,Possible,Possible,Possible,4,1,1,4,Yes,Yes,Neither,0 - 200 €
45 - 60,Male,No Tech,5,Yes,No,Gaming,Possible,Possible,Not possible,Not possible,Possible,Possible,Possible,Possible,Not possible,Possible,Possible,Not possible,Not possible,4,3,Media and Entertainment,Neutral,Neutral,Possible,Not possible,Possible,Possible,Possible,Possible,Neutral,Not possible,Possible,Possible,Neutral,5,5,3,5,Yes,Yes,Meta's ad,500-1000 €
45 - 60,Female,No Tech,3,Yes,No,Gaming,Possible,Neutral,Neutral,Neutral,Possible,Possible,Possible,Neutral,Neutral,Possible,Neutral,Neutral,Not possible,5,3,Productivity,Neutral,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,5,4,2,4,No,No,Meta's ad,500-1000 €
45 - 60,Female,No Tech,4,Yes,No,Gaming,Possible,Possible,Neutral,Not possible,Possible,Not possible,Possible,Possible,Possible,Not possible,Not possible,Not possible,Not possible,4,2,Research and Data Visualization,Neutral,Possible,Neutral,Not possible,Possible,Possible,Possible,Possible,Possible,Neutral,Not possible,Possible,Not possible,4,2,2,3,No,No,Neither,200-400 €
45 - 60,Female,No Tech,4,Yes,No,Gaming,Possible,Not possible,Not possible,Not possible,Neutral,Neutral,Possible,Not possible,Not possible,Possible,Not possible,Not possible,Not possible,5,1,Media and Entertainment,Possible,Not possible,Neutral,Not possible,Possible,Possible,Possible,Not possible,Possible,Possible,Not possible,Not possible,Not possible,5,1,1,1,Yes,Yes,Neither,0 - 200 €
18 - 28,Female,Tech,4,Yes,No,Gaming,Possible,Neutral,Not possible,Possible,Neutral,Possible,Possible,Neutral,Not possible,Possible,Not possible,Neutral,Not possible,4,4,Media and Entertainment,Not possible,Possible,Possible,Not possible,Possible,Not possible,Possible,Not possible,Not possible,Not possible,Not possible,Not possible,Not possible,3,2,4,3,Yes,Yes,Neither,
18 - 28,Female,Tech,2,Yes,No,Media and Entertainment,Possible,Not possible,Not possible,Not possible,Possible,Possible,Possible,Neutral,Neutral,Possible,Neutral,Possible,Not possible,3,1,Media and Entertainment,Neutral,Neutral,Possible,Neutral,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Neutral,Not possible,3,2,2,4,Yes,Yes,Neither,0 - 200 €
18 - 28,Female,No Tech ,4,Yes,No,Gaming,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Neutral,Possible,4,3,Simulation and Training,Neutral,Possible,Possible,Not possible,Possible,Possible,Possible,Possible,Not possible,Neutral,Not possible,Possible,Neutral,2,2,4,3,Yes,Yes,Apple's ad,200-400 €
45 - 60,Female,No Tech,3,Yes,No,Gaming,Possible,Neutral,Neutral,Neutral,Possible,Possible,Possible,Neutral,Neutral,Possible,Neutral,Neutral,Not possible,5,3,Productivity,Neutral,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,5,4,2,4,No,No,Meta's ad,500-1000 €
18 - 28,Male,No Tech,4,Yes,No,Media and Entertainment,Not possible,Neutral,Possible,Not possible,Not possible,Possible,Possible,Possible,Not possible,Not possible,Possible,Neutral,Neutral,4,2,Gaming,Possible,Neutral,Not possible,Neutral,Neutral,Neutral,Possible,Not possible,Possible,Possible,Possible,Not possible,Neutral,4,3,4,2,No,No,Neither,500-1000 $
45 - 60,Female,No Tech,3,Yes,No,Gaming,Possible,Neutral,Not possible,Neutral,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Neutral,Neutral,4,1,Art and Creativity,Possible,Neutral,Neutral,Neutral,Possible,Possible,Possible,Possible,Neutral,Neutral,Possible,Possible,Neutral,3,1,1,1,No,Yes,Neither,Aucune
18 - 28,Male,No Tech,3,Yes,No,Gaming,Possible,Not possible,Not possible,Not possible,Neutral,Neutral,Possible,Not possible,Neutral,Possible,Neutral,Not possible,Neutral,4,3,Media and Entertainment,Possible,Neutral,Possible,Neutral,Possible,Possible,Possible,Possible,Neutral,Possible,Possible,Neutral,Possible,4,3,3,3,No,Yes,Both,0 - 200 €
45 - 60,Female,No Tech,5,Yes,No,Gaming,Possible,Possible,Neutral,Neutral,Possible,Neutral,Possible,Neutral,Neutral,Possible,Possible,Neutral,Neutral,5,3,Media and Entertainment,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,5,5,3,4,No,No,Neither,0 - 200 €
45 - 60,Female,No Tech,3,Yes,No,Gaming,Possible,Neutral,Neutral,Neutral,Possible,Possible,Possible,Neutral,Neutral,Possible,Neutral,Neutral,Not possible,5,3,Productivity,Neutral,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,5,4,2,4,No,No,Meta's ad,500-1000 €
18 - 28,Female,Tech,4,Yes,No,Gaming,Neutral,Not possible,Not possible,Not possible,Possible,Not possible,Possible,Not possible,Possible,Possible,Possible,Not possible,Not possible,4,1,Productivity,Possible,Possible,Possible,Not possible,Possible,Not possible,Possible,Possible,Possible,Not possible,Possible,Possible,Possible,4,2,1,2,No,No,Meta's ad,500-1000 €
18 - 28,Male,No Tech,3,Yes,No,Gaming,Possible,Not possible,Not possible,Not possible,Neutral,Neutral,Possible,Not possible,Neutral,Possible,Neutral,Not possible,Neutral,4,3,Media and Entertainment,Possible,Neutral,Possible,Neutral,Possible,Possible,Possible,Possible,Neutral,Possible,Possible,Neutral,Possible,4,3,3,3,No,Yes,Both,0 - 200 €
18 - 28,Female,No Tech,3,Yes,No,Gaming,Possible,Not possible,Possible,Not possible,Not possible,Not possible,Possible,Not possible,Possible,Possible,Possible,Not possible,Not possible,2,2,Productivity,Not possible,Possible,Possible,Neutral,Possible,Neutral,Possible,Possible,Possible,Not possible,Possible,Possible,Not possible,4,4,2,4,Yes,Yes,Meta's ad,500-1000 €
18 - 28,Female,Tech,4,Yes,No,Gaming,Possible,Neutral,Not possible,Possible,Neutral,Possible,Possible,Neutral,Not possible,Possible,Not possible,Neutral,Not possible,4,4,Media and Entertainment,Not possible,Possible,Possible,Not possible,Possible,Not possible,Possible,Not possible,Not possible,Not possible,Not possible,Not possible,Not possible,3,2,4,3,Yes,Yes,Neither,
45 - 60,Male,No Tech,5,Yes,No,Gaming,Possible,Not possible,Not possible,Not possible,Neutral,Not possible,Possible,Not possible,Neutral,Possible,Neutral,Not possible,Not possible,4,1,Media and Entertainment,Possible,Neutral,Possible,Neutral,Neutral,Possible,Possible,Neutral,Possible,Possible,Neutral,Neutral,Neutral,4,5,2,4,No,Yes,Meta's ad,500-1000 €
18 - 28,Male,No Tech ,5,Yes,No,Gaming,Possible,Neutral,Not possible,Not possible,Possible,Possible,Possible,Neutral,Not possible,Possible,Possible,Neutral,Not possible,5,1,Virtual Conferencing and Collaboration,Not possible,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Not possible,Not possible,Possible,Possible,Possible,3,1,2,4,Yes,Yes,Neither,0 - 200 €;1000-2000 €
18 - 28,Male,Tech,5,Yes,Yes,Gaming,Possible,Possible,Neutral,Neutral,Not possible,Possible,Possible,Possible,Possible,Not possible,Not possible,Not possible,Neutral,4,3,Productivity,Possible,Possible,Neutral,Neutral,Possible,Possible,Possible,Possible,Possible,Not possible,Not possible,Not possible,Neutral,4,4,4,4,Yes,Yes,Apple's ad,500-1000 €
18 - 28,Male,Tech,4,Yes,No,Gaming,Possible,Neutral,Not possible,Neutral,Neutral,Possible,Possible,Neutral,Neutral,Possible,Possible,Not possible,Neutral,4,3,Media and Entertainment,Not possible,Neutral,Possible,Not possible,Neutral,Possible,Possible,Neutral,Not possible,Not possible,Possible,Neutral,Neutral,4,2,4,2,No,No,Neither,500-1000 €
18 - 28,Male,No Tech,3,Yes,No,Gaming,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Neutral,Neutral,Possible,Possible,Possible,4,3,Media and Entertainment,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,4,3,2,2,Yes,Yes,Neither,0 - 200 €;200-400 €
18 - 28,Male,No Tech,4,Yes,No,Gaming,Possible,Possible,Neutral,Not possible,Possible,Possible,Possible,Possible,Possible,Neutral,Neutral,Not possible,Possible,4,3,Productivity,Possible,Possible,Possible,Neutral,Possible,Neutral,Possible,Possible,Possible,Not possible,Possible,Not possible,Neutral,4,3,3,4,Yes,Yes,Both,200-400 €;500-1000 €
18 - 28,Male,Tech,5,Yes,No,Gaming,Possible,Possible,Not possible,Possible,Neutral,Possible,Possible,Possible,Neutral,Not possible,Possible,Possible,Possible,2,2,Productivity,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Not possible,Possible,Possible,Possible,4,1,1,4,Yes,Yes,Neither,0 - 200 €
18 - 28,Male,No Tech,3,Yes,No,Gaming,Possible,Not possible,Not possible,Not possible,Neutral,Neutral,Possible,Not possible,Neutral,Possible,Neutral,Not possible,Neutral,4,3,Media and Entertainment,Possible,Neutral,Possible,Neutral,Possible,Possible,Possible,Possible,Neutral,Possible,Possible,Neutral,Possible,4,3,3,3,No,Yes,Both,0 - 200 €
18 - 28,Female,Tech,5,Yes,No,Gaming,Possible,Possible,Not possible,Possible,Possible,Possible,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,1,Media and Entertainment,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,5,3,1,5,No,No,Meta's ad,1000-2000 €
18 - 28,Female,Tech,4,Yes,No,Gaming,Possible,Neutral,Not possible,Possible,Neutral,Possible,Possible,Neutral,Not possible,Possible,Not possible,Neutral,Not possible,4,4,Media and Entertainment,Not possible,Possible,Possible,Not possible,Possible,Not possible,Possible,Not possible,Not possible,Not possible,Not possible,Not possible,Not possible,3,2,4,3,Yes,Yes,Neither,
18 - 28,Female,Tech,3,Yes,No,Gaming,Possible,Not possible,Not possible,Not possible,Not possible,Not possible,Possible,Not possible,Not possible,Possible,Not possible,Not possible,Not possible,4,3,Productivity,Not possible,Possible,Possible,Neutral,Possible,Possible,Not possible,Not possible,Not possible,Not possible,Possible,Possible,Not possible,3,3,4,3,Yes,No,Apple's ad,200-400 €
45 - 60,Female,No Tech,4,Yes,No,Fitness and Exercise,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,5,4,Media and Entertainment,Neutral,Possible,Possible,Neutral,Neutral,Possible,Possible,Possible,Possible,Neutral,Neutral,Possible,Neutral,5,4,2,5,Yes,Yes,Meta's ad,200-400 €;500-1000 €
18 - 28,Male,No Tech,4,Yes,No,Gaming,Possible,Possible,Neutral,Not possible,Possible,Possible,Possible,Possible,Possible,Neutral,Neutral,Not possible,Possible,4,3,Productivity,Possible,Possible,Possible,Neutral,Possible,Neutral,Possible,Possible,Possible,Not possible,Possible,Not possible,Neutral,4,3,3,4,Yes,Yes,Both,200-400 €;500-1000 €
18 - 28,Female,No Tech,3,Yes,No,Gaming,Possible,Not possible,Possible,Not possible,Not possible,Not possible,Possible,Not possible,Possible,Possible,Possible,Not possible,Not possible,2,2,Productivity,Not possible,Possible,Possible,Neutral,Possible,Neutral,Possible,Possible,Possible,Not possible,Possible,Possible,Not possible,4,4,2,4,Yes,Yes,Meta's ad,500-1000 €
18 - 28,Male,No Tech ,4,Yes,No,Gaming,Possible,Not possible,Not possible,Not possible,Possible,Not possible,Possible,Not possible,Possible,Possible,Possible,Not possible,Not possible,5,1,Media and Entertainment,Possible,Possible,Possible,Not possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,5,3,1,5,No,No,Neither,200-400 €
45 - 60,Female,No Tech,4,Yes,No,Fitness and Exercise,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,5,4,Media and Entertainment,Neutral,Possible,Possible,Neutral,Neutral,Possible,Possible,Possible,Possible,Neutral,Neutral,Possible,Neutral,5,4,2,5,Yes,Yes,Meta's ad,200-400 €;500-1000 €
45 - 60,Male,No Tech,5,Yes,No,Gaming,Possible,Not possible,Not possible,Not possible,Neutral,Not possible,Possible,Not possible,Neutral,Possible,Neutral,Not possible,Not possible,4,1,Media and Entertainment,Possible,Neutral,Possible,Neutral,Neutral,Possible,Possible,Neutral,Possible,Possible,Neutral,Neutral,Neutral,4,5,2,4,No,Yes,Meta's ad,500-1000 €
18 - 28,Female,No Tech ,4,Yes,No,Gaming,Possible,Possible,Neutral,Possible,Possible,Possible,Possible,Neutral,Possible,Possible,Possible,Neutral,Possible,4,3,Simulation and Training,Neutral,Possible,Possible,Not possible,Possible,Possible,Possible,Possible,Not possible,Neutral,Not possible,Possible,Neutral,2,2,4,3,Yes,Yes,Apple's ad,200-400 €
